measure,,pearson,pearson,pearson,pearson,pearson,pearson,pearson,pearson,pearson,pearson,spearman,spearman,spearman,spearman,spearman,spearman,spearman,spearman,spearman,spearman,MIC,MIC,MIC,MIC,MIC,MIC,MIC,MIC,MIC,MIC
region,,global,global,dry cold,dry cold,dry warm,dry warm,wet cold,wet cold,wet warm,wet warm,global,global,dry cold,dry cold,dry warm,dry warm,wet cold,wet cold,wet warm,wet warm,global,global,dry cold,dry cold,dry warm,dry warm,wet cold,wet cold,wet warm,wet warm
subcol,,input,value,input,value,input,value,input,value,input,value,input,value,input,value,input,value,input,value,input,value,input,value,input,value,input,value,input,value,input,value
output,rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evap-total,1,pr,0.85,pr,0.88,pr,0.92,tasmax,0.91,huss,0.78,pr,0.87,pr,0.89,pr,0.95,tasmax,0.93,huss,0.81,pr,0.61,pr,0.65,pr,0.8,tasmax,0.77,huss,0.56
evap-total,2,huss,0.84,huss,0.72,hurs,0.77,huss,0.9,rlds,0.75,interceptcap_grassland,0.83,interceptcap_irrNonPaddy,0.73,hurs,0.79,huss,0.92,rlds,0.78,interceptcap_forest,0.57,interceptcap_grassland,0.49,fracgrassland,0.55,huss,0.75,albedoWater,0.53
evap-total,3,interceptcap_forest,0.84,interceptcap_irrNonPaddy,0.62,huss,0.76,tas,0.89,tasmin,0.69,interceptcap_forest,0.83,interceptcap_irrPaddy,0.73,chanbw,0.78,tas,0.91,pr,0.7,interceptcap_irrNonPaddy,0.57,interceptcap_irrNonPaddy,0.49,chanbw,0.54,tas,0.74,rlds,0.51
evap-total,4,interceptcap_irrNonPaddy,0.84,interceptcap_forest,0.62,interceptcap_grassland,0.72,tasmin,0.87,interceptcap_grassland,0.69,interceptcap_irrNonPaddy,0.83,interceptcap_grassland,0.73,huss,0.75,tasmin,0.89,interceptcap_grassland,0.69,interceptcap_irrPaddy,0.57,interceptcap_irrPaddy,0.49,fracforest,0.52,tasmin,0.7,chanleng,0.47
evap-total,5,interceptcap_grassland,0.84,interceptcap_irrPaddy,0.62,interceptcap_irrNonPaddy,0.72,rlds,0.85,interceptcap_forest,0.69,interceptcap_irrPaddy,0.83,interceptcap_forest,0.73,fracforest,0.75,rlds,0.88,interceptcap_irrNonPaddy,0.69,interceptcap_grassland,0.57,interceptcap_forest,0.49,interceptcap_irrNonPaddy,0.51,interceptcap_irrPaddy,0.69,interceptcap_irrNonPaddy,0.43
evap-total,6,interceptcap_irrPaddy,0.84,interceptcap_grassland,0.62,interceptcap_forest,0.72,interceptcap_irrNonPaddy,0.72,interceptcap_irrPaddy,0.69,huss,0.77,huss,0.71,interceptcap_irrPaddy,0.71,interceptcap_irrNonPaddy,0.84,interceptcap_forest,0.69,kc_grassland,0.48,kc_forest,0.45,interceptcap_grassland,0.51,interceptcap_grassland,0.69,interceptcap_irrPaddy,0.43
potevap,1,tasmax,0.91,tasmax,0.92,tasmax,0.75,huss,0.91,rsds,0.91,tasmax,0.94,tasmax,0.95,rsds,0.74,tasmax,0.92,rsds,0.9,tasmax,0.86,albedoWater,0.77,rsds,0.45,tasmax,0.68,rsds,0.65
